               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  82,             0.03902,            0.023591,            0.004864,             0.14868,              0.8974,             0.82395,             0.85744,             0.34712,            0.036494,            0.022109,           0.0047137,              0.1483,           0.0086452,           0.0086452,           0.0086452
                  83,             0.03941,            0.023999,           0.0051521,             0.14834,             0.78374,             0.73547,             0.77076,             0.31831,            0.040423,            0.022224,           0.0050114,             0.14647,           0.0086137,           0.0086137,           0.0086137
                  84,            0.039591,            0.023267,            0.004046,             0.14799,             0.87375,             0.71971,             0.74907,             0.24811,            0.040968,            0.021307,           0.0050868,             0.14853,           0.0085818,           0.0085818,           0.0085818
                  85,            0.039898,            0.024996,           0.0042534,             0.14796,             0.86562,             0.82664,             0.82966,             0.33426,            0.039637,            0.021133,           0.0050835,             0.14538,           0.0085497,           0.0085497,           0.0085497
                  86,            0.038875,            0.024645,           0.0039374,             0.14871,             0.82761,              0.7561,             0.79169,             0.32693,            0.036543,            0.021373,           0.0081363,             0.14392,           0.0085173,           0.0085173,           0.0085173
                  87,            0.039533,            0.023993,           0.0046793,             0.14645,             0.82827,             0.73274,             0.75025,             0.27482,            0.038583,            0.021841,           0.0074759,             0.14688,           0.0084846,           0.0084846,           0.0084846
                  88,            0.039745,            0.025065,           0.0046663,             0.14662,              0.8938,             0.85693,             0.85869,             0.30832,            0.038499,            0.021629,           0.0040106,             0.14892,           0.0084516,           0.0084516,           0.0084516
                  89,            0.039085,            0.025044,           0.0044473,             0.14572,             0.83457,             0.79741,             0.76739,             0.29222,            0.039927,            0.021659,           0.0039952,             0.14536,           0.0084184,           0.0084184,           0.0084184
                  90,            0.038743,            0.023245,           0.0038829,             0.14505,             0.82668,             0.80029,             0.78645,             0.27831,            0.039979,            0.021557,           0.0034151,             0.14613,           0.0083849,           0.0083849,           0.0083849
                  91,            0.039761,            0.023099,           0.0041954,             0.14485,             0.88738,             0.81784,             0.83536,             0.32931,            0.038011,            0.021716,           0.0047316,             0.14827,           0.0083511,           0.0083511,           0.0083511
                  92,            0.039209,            0.024453,           0.0037899,             0.14297,             0.89386,             0.84713,             0.87642,             0.31891,            0.041818,            0.020843,            0.003255,             0.14342,           0.0083171,           0.0083171,           0.0083171
                  93,            0.039749,            0.026128,             0.00395,             0.14691,             0.88061,              0.8261,              0.8634,             0.30802,            0.039204,            0.021351,           0.0047558,             0.14341,           0.0082829,           0.0082829,           0.0082829
                  94,            0.038987,            0.025097,            0.004304,             0.14403,             0.75954,              0.7209,              0.6919,             0.30998,            0.040328,             0.02123,           0.0038341,             0.14826,           0.0082483,           0.0082483,           0.0082483
                  95,            0.037315,            0.021829,           0.0034646,             0.14511,             0.86893,             0.85499,             0.87068,             0.34548,            0.035364,            0.021808,           0.0059552,             0.14401,           0.0082136,           0.0082136,           0.0082136
                  96,            0.037875,             0.02226,           0.0036027,             0.14351,             0.80333,             0.77843,             0.83596,             0.31303,            0.039076,            0.022301,            0.007047,             0.14059,           0.0081786,           0.0081786,           0.0081786
                  97,            0.038285,            0.024508,           0.0047913,             0.14494,             0.86819,             0.84798,             0.86535,             0.35063,            0.038972,            0.020841,           0.0042736,             0.14464,           0.0081433,           0.0081433,           0.0081433
                  98,            0.037256,            0.021787,           0.0042297,             0.14409,             0.83644,             0.83746,             0.83011,             0.33513,            0.039192,            0.021128,           0.0043174,             0.14419,           0.0081078,           0.0081078,           0.0081078
